Creditability,Account_Balance,Duration_of_Credit,Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,employment,Instalment_percent,Sex_MaritalStatus,Guarantors,Duration_address,asset,Age,Concurrent_Credits,Type_apartment,No_of_Credits,Occupation,dependents,Telephone,Foreign_Worker
good,4,15,existing paid,other,5324,3,5,1,male: single,none,4,4,35,3,owner-occupied flat,1,3,1,yes,yes
good,2,36,existing paid,items of furniture,2323,1,4,4,male: married / widowed,none,4,3,24,3,free apartment,1,3,1,yes,yes
good,4,12,existing paid,repair,1393,1,5,4,male: married / widowed,none,4,2,47,1,rented flat,3,3,2,no,yes
good,4,18,existing paid,used car,1984,1,3,4,male: married / widowed,none,4,4,47,1,owner-occupied flat,2,3,1,yes,yes
good,4,24,existing paid,items of furniture,999,5,5,4,male: married / widowed,none,2,3,25,3,rented flat,2,3,1,yes,yes
good,4,36,existing paid,retraining,7409,5,5,3,male: married / widowed,none,2,2,37,3,rented flat,2,3,1,yes,yes
good,4,15,existing paid,used car,2186,5,4,1,male: single,none,4,1,33,1,free apartment,1,2,1,yes,yes
good,3,36,existing paid,items of furniture,4473,1,5,4,male: married / widowed,none,2,3,31,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,vacation,937,1,2,4,female:,none,3,3,27,3,rented flat,2,2,1,yes,yes
good,4,18,existing paid,used car,3422,1,5,4,male: married / widowed,none,4,2,47,1,rented flat,3,3,2,no,yes
good,4,24,existing paid,items of furniture,3105,5,2,4,male: married / widowed,none,2,3,25,3,rented flat,2,3,1,yes,yes
good,4,12,critical/other existing credit,repair,2748,1,5,2,male: single,none,4,4,57,1,owner-occupied flat,3,2,1,yes,yes
good,2,18,existing paid,household appliances,3872,1,1,2,male: single,none,4,3,67,3,rented flat,1,3,1,no,yes
good,4,27,existing paid,household appliances,5190,5,5,4,male: married / widowed,none,4,2,48,3,rented flat,4,3,2,no,yes
good,2,18,existing paid,used car,3001,1,4,2,male: single,none,4,1,40,3,free apartment,1,3,1,yes,yes
good,4,24,delayed previously,retraining,3863,1,3,1,male: married / widowed,none,2,4,32,3,owner-occupied flat,1,3,1,yes,yes
good,4,12,critical/other existing credit,used car,5801,5,5,2,male: married / widowed,none,4,2,49,3,free apartment,1,3,1,no,no
good,4,12,critical/other existing credit,used car,1592,4,4,3,male: single,none,2,2,35,3,rented flat,1,3,1,yes,yes
good,4,12,critical/other existing credit,retraining,1185,1,3,3,male: single,none,2,1,27,3,rented flat,2,3,1,yes,yes
good,4,18,critical/other existing credit,used car,3780,1,2,3,male: divorced / living apart,none,2,3,35,3,rented flat,2,4,1,no,yes
good,2,18,critical/other existing credit,used car,3612,1,5,3,male: single,none,4,2,37,3,rented flat,1,3,1,no,no
good,4,12,existing paid,retraining,1076,1,3,2,female:,none,2,1,26,3,rented flat,1,3,1,no,yes
good,4,12,existing paid,other,3527,5,2,2,male: married / widowed,none,3,2,45,3,rented flat,1,4,2,no,yes
good,4,18,existing paid,items of furniture,2051,1,2,4,male: married / widowed,none,1,1,33,3,rented flat,1,3,1,yes,yes
good,4,12,critical/other existing credit,used car,3331,1,5,2,male: married / widowed,none,4,2,42,2,rented flat,1,3,1,yes,yes
good,1,18,no credits/all paid,retraining,3104,1,4,3,male: married / widowed,none,1,2,31,1,rented flat,1,3,1,no,yes
good,4,24,critical/other existing credit,items of furniture,2611,1,5,4,female:,Co-Applicant  ,3,1,46,3,rented flat,2,3,1,yes,yes
good,1,12,critical/other existing credit,new car,1409,1,5,4,male: married / widowed,none,3,1,54,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,items of furniture,1311,2,4,4,female:,none,3,2,26,3,rented flat,1,3,1,no,yes
good,4,6,existing paid,items of furniture,2108,1,4,2,female:,none,2,1,29,3,free apartment,1,3,1,yes,yes
good,4,24,critical/other existing credit,new car,4042,5,4,3,male: married / widowed,none,4,2,43,3,rented flat,2,3,1,no,yes
good,4,12,critical/other existing credit,other,926,1,1,1,male: single,none,2,2,38,3,rented flat,1,1,1,yes,yes
good,1,12,existing paid,items of furniture,1680,3,5,3,female:,none,1,1,35,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,other,1249,1,2,4,female:,none,2,1,28,3,rented flat,1,3,1,yes,yes
good,4,24,critical/other existing credit,other,2463,2,4,4,female:,none,3,2,27,3,rented flat,2,3,1,no,yes
good,4,6,existing paid,items of furniture,1595,1,4,3,male: married / widowed,none,2,2,51,3,rented flat,1,3,2,yes,yes
good,4,24,critical/other existing credit,household appliances,2058,1,3,4,male: divorced / living apart,none,2,1,33,3,rented flat,2,3,1,no,yes
good,4,24,existing paid,new car,7814,1,4,3,male: married / widowed,none,3,3,38,3,rented flat,1,4,1,no,yes
good,4,6,critical/other existing credit,items of furniture,1740,1,5,2,female:,none,2,1,30,3,free apartment,2,3,1,yes,yes
good,4,12,critical/other existing credit,items of furniture,1240,5,5,4,male: single,none,2,1,38,3,rented flat,2,3,1,no,yes
good,4,24,critical/other existing credit,new car,6842,5,3,2,male: married / widowed,none,4,2,46,3,rented flat,2,4,2,no,yes
good,4,24,critical/other existing credit,used car,5150,1,5,4,male: married / widowed,none,4,3,33,3,rented flat,1,3,1,no,yes
good,1,6,existing paid,other,1203,2,5,3,male: married / widowed,none,2,2,43,3,rented flat,1,3,1,no,yes
good,4,6,critical/other existing credit,other,2080,3,3,1,female:,none,2,3,24,3,rented flat,1,3,1,yes,yes
good,4,6,existing paid,repair,1538,1,2,1,male: single,none,2,4,56,3,rented flat,1,3,1,yes,yes
good,2,24,critical/other existing credit,other,3878,2,2,4,male: divorced / living apart,none,2,3,37,3,rented flat,1,3,1,no,yes
good,2,30,existing paid,used car,3832,1,2,2,female:,none,1,2,22,3,rented flat,1,3,1,yes,yes
good,4,15,existing paid,other,3186,4,4,2,male: single,none,3,3,20,3,free apartment,1,3,1,yes,yes
good,2,24,existing paid,items of furniture,2896,2,2,2,male: married / widowed,none,1,3,29,3,rented flat,1,3,1,yes,yes
good,2,24,delayed previously,retraining,6967,2,4,4,male: married / widowed,none,4,3,36,3,free apartment,1,4,1,no,yes
bad,4,36,existing paid,repair,1819,1,3,4,male: married / widowed,none,4,4,37,2,owner-occupied flat,1,3,1,no,yes
bad,4,24,existing paid,items of furniture,5943,5,2,1,male: single,none,1,3,44,3,rented flat,2,3,1,no,yes
bad,4,36,critical/other existing credit,used car,7127,1,2,2,male: single,none,4,2,23,3,free apartment,2,3,1,no,yes
bad,4,36,existing paid,used car,3349,1,3,4,male: single,none,2,3,28,3,rented flat,1,4,1,no,yes
bad,4,36,existing paid,used car,10974,1,1,4,male: single,none,2,3,26,3,rented flat,2,4,1,no,yes
good,4,6,existing paid,items of furniture,518,1,3,3,male: single,none,1,1,29,3,rented flat,1,3,1,yes,yes
good,4,18,existing paid,items of furniture,1126,5,2,4,male: single,none,2,1,21,3,free apartment,1,3,1,no,yes
good,2,12,critical/other existing credit,new car,1860,1,1,4,male: married / widowed,none,2,3,34,3,rented flat,2,4,1,no,yes
good,4,36,critical/other existing credit,items of furniture,9566,1,3,2,male: single,none,2,3,31,2,rented flat,2,3,1,yes,yes
good,1,12,existing paid,items of furniture,701,1,3,4,female:,none,2,1,40,3,rented flat,1,2,1,yes,yes
good,2,12,existing paid,items of furniture,2930,1,4,2,male: single,none,1,1,27,3,rented flat,1,3,1,yes,yes
good,4,18,existing paid,items of furniture,1505,1,3,4,male: married / widowed,none,2,4,32,3,owner-occupied flat,1,4,1,no,yes
good,4,18,critical/other existing credit,items of furniture,2238,1,3,2,male: single,none,1,3,25,3,rented flat,2,3,1,yes,yes
good,4,4,critical/other existing credit,items of furniture,1503,1,4,2,male: married / widowed,none,1,1,42,3,rented flat,2,2,2,yes,yes
good,4,24,critical/other existing credit,new car,2197,5,4,4,male: married / widowed,none,4,3,43,3,rented flat,2,3,2,no,yes
good,3,12,existing paid,items of furniture,1881,1,3,2,male: single,none,2,3,44,3,free apartment,1,2,1,no,yes
good,1,18,critical/other existing credit,items of furniture,1880,1,4,4,female:,none,1,2,32,3,rented flat,2,4,1,no,yes
good,1,18,existing paid,items of furniture,2389,1,2,4,male: single,none,1,3,27,2,rented flat,1,3,1,yes,yes
good,2,24,existing paid,items of furniture,1967,1,5,4,male: single,none,4,3,20,3,rented flat,1,3,1,no,yes
good,4,4,critical/other existing credit,other,3380,1,4,1,male: single,none,1,1,37,3,rented flat,1,3,2,yes,yes
good,4,4,critical/other existing credit,other,1455,1,4,2,male: married / widowed,none,1,1,42,3,rented flat,3,2,2,yes,yes
good,4,7,critical/other existing credit,items of furniture,730,5,5,4,male: married / widowed,none,2,2,46,3,free apartment,2,2,1,no,yes
good,2,18,no credits/all paid,used car,3244,1,3,1,male: single,none,4,3,33,1,rented flat,2,3,1,no,yes
bad,2,9,existing paid,items of furniture,1670,1,2,4,male: single,none,2,3,22,3,rented flat,1,3,1,no,yes
good,2,48,existing paid,items of furniture,3979,5,4,4,male: married / widowed,none,1,3,41,3,rented flat,2,3,2,no,yes
bad,2,12,existing paid,used car,1922,1,3,4,male: married / widowed,none,2,2,37,3,rented flat,1,2,1,yes,yes
good,2,18,critical/other existing credit,used car,1295,1,2,4,male: single,none,1,2,27,3,rented flat,2,3,1,yes,yes
good,4,4,critical/other existing credit,items of furniture,1544,1,4,2,male: married / widowed,none,1,1,42,3,rented flat,3,2,2,yes,yes
good,2,8,existing paid,retraining,907,1,2,3,female:,none,2,1,26,3,rented flat,1,3,1,no,yes
good,2,30,existing paid,items of furniture,1715,5,3,4,male: single,none,1,3,26,3,rented flat,1,3,1,yes,yes
good,3,10,critical/other existing credit,items of furniture,1347,5,4,4,male: married / widowed,none,2,2,27,3,rented flat,2,3,1,no,yes
good,2,12,existing paid,other,1007,4,3,4,female:,none,1,1,22,3,rented flat,1,3,1,yes,yes
good,4,12,critical/other existing credit,used car,1402,3,4,3,male: single,none,4,3,37,3,free apartment,1,3,1,no,yes
good,2,12,existing paid,other,2002,1,4,3,male: married / widowed,none,4,2,30,3,free apartment,1,3,2,no,yes
good,4,12,critical/other existing credit,repair,2096,1,4,2,male: married / widowed,none,3,1,49,3,rented flat,1,2,2,yes,yes
good,4,12,existing paid,other,1101,1,3,3,female:,none,2,1,27,3,rented flat,2,3,1,no,yes
good,4,10,existing paid,vacation,894,5,4,4,male: single,none,3,2,40,3,rented flat,1,3,1,no,yes
good,2,11,existing paid,used car,1577,4,2,4,male: single,none,1,1,20,3,rented flat,1,3,1,yes,yes
good,4,33,delayed previously,retraining,2764,1,3,2,male: single,none,2,3,26,3,rented flat,2,3,1,no,yes
good,2,48,no credits/all paid,other,8358,3,2,1,male: single,none,1,3,30,3,rented flat,2,3,1,yes,yes
good,3,12,existing paid,used car,1474,1,2,4,male: single,none,1,2,33,1,rented flat,1,4,1,no,yes
good,4,24,existing paid,new car,5433,5,1,2,male: single,none,4,2,26,3,free apartment,1,4,1,no,yes
good,2,14,existing paid,retraining,1410,3,5,1,female:,none,2,1,35,3,rented flat,1,3,1,no,yes
good,4,20,critical/other existing credit,other,3485,5,2,2,male: divorced / living apart,none,4,1,44,3,rented flat,2,3,1,no,yes
good,4,18,critical/other existing credit,new car,3850,1,4,3,male: married / widowed,none,1,3,27,3,rented flat,2,3,1,yes,yes
bad,2,60,existing paid,other,7408,2,2,4,male: single,none,2,2,24,3,rented flat,1,4,1,yes,yes
good,3,24,existing paid,items of furniture,1377,2,5,4,male: single,none,2,4,47,3,owner-occupied flat,1,3,1,no,yes
good,4,30,delayed previously,retraining,4272,2,3,2,male: married / widowed,none,2,2,26,3,rented flat,2,2,1,yes,yes
good,2,24,delayed previously,items of furniture,1553,2,4,3,male: single,none,2,2,23,3,free apartment,2,3,1,no,yes
good,2,36,delayed previously,retraining,9857,2,4,1,male: married / widowed,none,3,2,31,3,rented flat,2,2,2,no,yes
good,4,6,critical/other existing credit,other,362,2,3,4,male: single,none,4,3,52,3,rented flat,2,2,1,yes,yes
good,4,12,critical/other existing credit,used car,1935,1,5,4,male: married / widowed,none,4,1,43,3,rented flat,3,3,1,no,yes
good,4,48,existing paid,items of furniture,10222,5,4,4,male: married / widowed,none,3,3,37,2,rented flat,1,3,1,no,yes
good,3,12,existing paid,other,1330,1,2,4,male: married / widowed,none,1,1,26,3,rented flat,1,3,1,yes,yes
good,4,36,existing paid,repair,9055,5,3,2,male: married / widowed,none,4,4,35,3,owner-occupied flat,1,2,2,no,yes
good,2,26,existing paid,new car,7966,1,2,2,male: married / widowed,none,3,3,30,3,rented flat,2,3,1,yes,yes
good,2,30,all paid,used car,3496,4,3,4,male: married / widowed,none,2,3,34,2,rented flat,1,3,2,no,yes
good,2,36,existing paid,new car,6948,1,3,2,male: married / widowed,none,2,3,35,3,free apartment,1,4,1,no,yes
good,2,48,no credits/all paid,retraining,12204,5,3,2,male: married / widowed,none,2,3,48,1,rented flat,1,4,1,no,yes
bad,1,36,existing paid,used car,3446,1,5,4,male: married / widowed,none,2,3,42,3,rented flat,1,3,2,yes,yes
bad,1,12,existing paid,repair,684,1,3,4,male: married / widowed,none,4,3,40,3,free apartment,1,2,2,yes,yes
bad,1,33,critical/other existing credit,used car,4281,3,3,1,male: single,none,4,3,23,3,rented flat,2,3,1,yes,yes
bad,1,42,existing paid,items of furniture,7174,5,4,4,male: single,none,3,3,30,3,rented flat,1,4,1,no,yes
bad,1,24,all paid,items of furniture,1546,1,4,4,male: married / widowed,Guarantor  ,4,3,24,1,free apartment,1,2,1,yes,yes
bad,1,24,existing paid,used car,2359,2,1,1,male: divorced / living apart,none,1,2,33,3,rented flat,1,3,1,yes,yes
bad,4,24,existing paid,items of furniture,3621,2,5,2,male: married / widowed,none,4,3,31,3,rented flat,2,3,1,yes,yes
bad,1,12,existing paid,radio / television,741,2,1,4,male: single,none,3,2,22,3,rented flat,1,3,1,yes,yes
bad,1,12,existing paid,used car,7865,1,5,4,male: married / widowed,none,4,4,53,3,owner-occupied flat,1,4,1,no,yes
good,1,24,existing paid,new car,2910,1,4,2,male: married / widowed,none,1,4,34,3,owner-occupied flat,1,4,1,no,yes
good,1,18,critical/other existing credit,other,5302,1,5,2,male: married / widowed,none,4,4,36,3,owner-occupied flat,3,4,1,no,yes
good,1,36,existing paid,used car,3620,1,3,1,male: married / widowed,Guarantor  ,2,2,37,3,rented flat,1,3,2,yes,yes
good,1,18,existing paid,items of furniture,3509,1,4,4,male: single,Guarantor  ,1,1,25,3,rented flat,1,3,1,yes,yes
good,2,12,existing paid,used car,3017,1,2,3,male: single,none,1,1,34,3,free apartment,1,4,1,yes,yes
good,1,12,existing paid,used car,1657,1,3,2,male: married / widowed,none,2,1,27,3,rented flat,1,3,1,yes,yes
good,1,8,critical/other existing credit,business,1164,1,5,3,male: married / widowed,none,4,4,51,1,owner-occupied flat,2,4,2,no,yes
bad,1,36,critical/other existing credit,used car,6229,1,2,4,male: single,Co-Applicant  ,4,4,23,3,free apartment,2,2,1,no,yes
bad,1,24,all paid,other,1193,1,1,1,male: single,Co-Applicant  ,4,4,29,3,free apartment,2,1,1,yes,yes
good,1,30,no credits/all paid,used car,4583,1,3,2,male: divorced / living apart,Guarantor  ,2,1,32,3,rented flat,2,3,1,yes,yes
good,1,36,critical/other existing credit,used car,5371,1,3,3,male: married / widowed,Guarantor  ,2,2,28,3,rented flat,2,3,1,yes,yes
good,1,12,existing paid,used car,708,1,3,2,male: married / widowed,Guarantor  ,3,2,38,3,rented flat,1,2,2,yes,yes
good,1,21,critical/other existing credit,other,571,1,5,4,male: married / widowed,none,4,1,65,3,rented flat,2,3,1,yes,yes
good,1,30,existing paid,items of furniture,2522,1,5,1,male: married / widowed,Guarantor  ,3,2,39,3,rented flat,1,3,2,yes,yes
bad,1,36,existing paid,used car,5179,1,4,4,male: married / widowed,none,2,2,29,3,rented flat,1,3,1,yes,yes
bad,1,36,existing paid,new car,8229,1,3,2,male: married / widowed,none,2,2,26,3,rented flat,1,3,2,yes,yes
good,4,24,critical/other existing credit,used car,2028,1,4,2,male: married / widowed,none,2,2,30,3,rented flat,2,2,1,yes,yes
good,1,6,existing paid,other,1374,5,1,4,male: single,none,3,2,75,3,rented flat,1,4,1,no,yes
good,1,12,existing paid,used car,1289,1,3,4,male: married / widowed,Guarantor  ,1,2,21,3,rented flat,1,2,1,yes,yes
bad,1,36,existing paid,used car,2712,1,5,2,male: married / widowed,none,2,2,41,1,rented flat,1,3,2,yes,yes
good,1,15,critical/other existing credit,used car,975,1,3,2,male: divorced / living apart,none,3,2,25,3,rented flat,2,3,1,yes,yes
good,2,6,delayed previously,used car,1050,1,1,4,male: married / widowed,none,1,2,35,2,rented flat,2,4,1,no,no
good,1,6,critical/other existing credit,other,609,1,4,4,male: single,none,3,2,37,3,rented flat,2,3,1,yes,yes
good,1,48,existing paid,new car,4788,1,4,4,male: married / widowed,none,3,2,26,3,rented flat,1,3,2,yes,yes
good,2,24,existing paid,used car,3069,2,5,4,male: married / widowed,none,4,4,30,3,owner-occupied flat,1,3,1,yes,yes
bad,2,12,existing paid,other,836,2,2,4,male: single,none,2,2,23,1,rented flat,1,2,1,yes,yes
good,1,12,existing paid,used car,2577,1,3,2,male: divorced / living apart,none,1,3,42,3,rented flat,1,3,1,yes,yes
good,1,12,existing paid,used car,1620,1,3,2,male: single,Co-Applicant  ,3,2,30,3,rented flat,1,3,1,yes,yes
good,1,15,existing paid,used car,1845,1,2,4,male: single,Guarantor  ,1,2,46,3,free apartment,1,3,1,yes,yes
good,1,24,existing paid,new car,6579,1,1,4,male: married / widowed,none,2,4,29,3,owner-occupied flat,1,4,1,no,yes
good,1,12,existing paid,other,1893,1,3,4,male: single,Guarantor  ,4,2,29,3,rented flat,1,3,1,no,yes
good,1,30,critical/other existing credit,new car,10623,1,5,3,male: married / widowed,none,4,4,38,3,owner-occupied flat,3,4,2,no,yes
good,1,18,existing paid,other,2249,2,4,4,male: married / widowed,none,3,3,30,3,rented flat,1,4,2,no,yes
bad,1,30,existing paid,used car,3108,1,2,2,male: divorced / living apart,none,4,2,31,3,rented flat,1,2,1,yes,yes
good,2,12,critical/other existing credit,other,958,1,4,2,male: married / widowed,none,3,1,47,3,rented flat,2,2,2,yes,yes
good,4,24,existing paid,new car,9277,5,3,2,male: divorced / living apart,none,4,4,48,3,owner-occupied flat,1,3,1,no,yes
good,4,24,critical/other existing credit,business,6314,1,1,4,male: married / widowed,Co-Applicant  ,2,4,27,1,rented flat,2,4,1,no,yes
good,1,12,critical/other existing credit,new car,1526,1,5,4,male: married / widowed,none,4,4,66,3,owner-occupied flat,2,4,1,yes,yes
good,1,12,existing paid,used car,3590,1,3,2,male: married / widowed,Co-Applicant  ,2,2,29,3,rented flat,1,2,2,yes,yes
good,1,24,critical/other existing credit,new car,6615,1,1,2,male: married / widowed,none,4,4,75,3,owner-occupied flat,2,4,1,no,yes
good,1,6,critical/other existing credit,used car,1872,1,1,4,male: married / widowed,none,4,4,36,3,owner-occupied flat,3,4,1,no,yes
good,4,12,existing paid,other,2859,5,1,4,male: married / widowed,none,4,4,38,3,rented flat,1,4,1,no,yes
good,4,18,critical/other existing credit,items of furniture,1582,4,5,4,male: married / widowed,none,4,3,46,3,rented flat,2,3,1,yes,yes
good,4,6,existing paid,vacation,1238,5,1,4,male: married / widowed,none,4,2,36,3,rented flat,1,4,2,no,yes
good,1,12,existing paid,used car,2578,1,1,3,male: single,none,4,4,55,3,owner-occupied flat,1,4,1,yes,yes
good,1,15,critical/other existing credit,used car,1433,1,3,4,male: single,none,3,2,25,3,free apartment,2,3,1,yes,yes
good,1,42,existing paid,used car,7882,1,4,2,male: married / widowed,Guarantor  ,4,2,45,3,owner-occupied flat,1,3,2,yes,yes
good,1,24,existing paid,used car,4169,1,3,4,male: married / widowed,none,4,2,28,3,rented flat,1,3,1,yes,yes
good,1,36,existing paid,used car,3959,1,1,4,male: married / widowed,none,3,2,30,3,rented flat,1,4,1,no,yes
good,1,36,existing paid,other,3249,1,4,2,male: married / widowed,none,4,4,39,1,owner-occupied flat,1,4,2,no,yes
good,1,24,existing paid,used car,3149,1,2,4,male: married / widowed,none,1,4,22,1,owner-occupied flat,1,3,1,yes,yes
bad,1,12,critical/other existing credit,used car,2246,1,5,3,male: married / widowed,none,3,2,60,3,rented flat,2,3,1,yes,yes
good,1,13,critical/other existing credit,retraining,1797,1,2,3,male: married / widowed,none,1,2,28,1,rented flat,2,2,1,yes,yes
good,1,20,critical/other existing credit,used car,4272,1,5,1,male: single,none,4,2,24,3,rented flat,2,3,1,yes,yes
good,1,24,critical/other existing credit,new car,2957,1,5,4,male: married / widowed,none,4,2,63,3,rented flat,2,3,1,no,yes
good,1,36,critical/other existing credit,used car,2348,1,3,3,female:,none,2,2,46,3,rented flat,2,3,1,no,yes
good,3,42,no credits/all paid,retraining,6289,1,2,2,male: divorced / living apart,none,1,2,33,3,rented flat,2,3,1,yes,yes
good,1,24,critical/other existing credit,new car,6419,1,5,2,male: single,none,4,4,44,3,owner-occupied flat,2,4,2,no,yes
bad,1,48,critical/other existing credit,new car,6143,1,5,4,male: single,none,4,4,58,2,owner-occupied flat,2,2,1,yes,yes
good,4,24,critical/other existing credit,repair,1597,1,5,4,male: married / widowed,none,4,4,54,3,owner-occupied flat,2,3,2,yes,yes
good,1,36,existing paid,business,15857,1,1,2,male: divorced / living apart,Co-Applicant  ,3,3,43,3,rented flat,1,4,1,yes,yes
good,4,24,critical/other existing credit,items of furniture,2223,2,5,4,male: married / widowed,none,4,2,52,1,rented flat,2,3,1,yes,yes
good,4,48,delayed previously,items of furniture,7238,5,5,3,male: married / widowed,none,3,3,32,1,rented flat,2,3,2,yes,yes
good,2,30,delayed previously,retraining,2503,2,5,4,male: married / widowed,none,2,2,41,2,rented flat,2,3,1,yes,yes
good,2,18,existing paid,retraining,2622,2,3,4,male: married / widowed,none,4,3,34,3,rented flat,1,3,1,yes,yes
good,2,24,existing paid,used car,4351,5,3,1,male: single,none,4,2,48,3,rented flat,1,2,1,no,yes
good,2,6,existing paid,items of furniture,368,5,5,4,male: married / widowed,none,4,2,38,3,rented flat,1,3,1,yes,yes
good,2,12,existing paid,vacation,754,5,5,4,male: married / widowed,none,4,2,38,3,rented flat,2,3,1,yes,yes
good,4,24,critical/other existing credit,items of furniture,2424,5,5,4,male: married / widowed,none,4,2,53,3,rented flat,2,3,1,yes,yes
good,2,48,delayed previously,retraining,6681,5,3,4,male: married / widowed,none,4,4,38,3,owner-occupied flat,1,3,2,no,yes
good,2,18,delayed previously,retraining,2427,5,5,4,male: married / widowed,none,2,2,42,3,rented flat,2,3,1,yes,yes
bad,2,24,critical/other existing credit,items of furniture,1216,2,2,4,male: married / widowed,none,4,4,38,1,rented flat,2,3,2,yes,yes
good,2,6,existing paid,items of furniture,753,1,3,2,male: single,Guarantor  ,3,1,64,3,rented flat,1,3,1,yes,yes
good,2,7,existing paid,items of furniture,2576,1,3,2,male: married / widowed,Guarantor  ,2,1,35,3,rented flat,1,3,1,yes,no
good,2,6,existing paid,items of furniture,590,1,2,3,female:,none,3,1,26,3,rented flat,1,2,1,yes,no
good,2,8,existing paid,items of furniture,1414,1,3,4,male: married / widowed,Guarantor  ,2,1,33,3,rented flat,1,3,1,yes,no
good,2,12,existing paid,items of furniture,1103,1,4,4,male: married / widowed,Guarantor  ,3,1,29,3,rented flat,2,3,1,yes,yes
good,2,12,delayed previously,items of furniture,585,1,3,4,female:,Co-Applicant  ,4,1,20,3,free apartment,2,3,1,yes,yes
good,2,6,existing paid,items of furniture,1068,1,5,4,male: married / widowed,none,4,3,28,3,rented flat,1,3,2,yes,yes
good,1,8,critical/other existing credit,other,713,1,5,4,male: married / widowed,none,4,1,47,3,rented flat,2,2,1,yes,yes
good,2,12,existing paid,items of furniture,1092,1,3,4,male: single,Guarantor  ,4,1,49,3,rented flat,2,3,1,no,yes
good,2,7,existing paid,items of furniture,2329,1,2,1,male: single,Guarantor  ,1,1,45,3,rented flat,1,3,1,yes,yes
good,2,13,critical/other existing credit,items of furniture,882,1,2,4,male: married / widowed,Guarantor  ,4,1,23,3,rented flat,2,3,1,yes,yes
good,2,18,existing paid,items of furniture,866,1,3,4,female:,Guarantor  ,2,1,25,3,rented flat,1,2,1,yes,yes
good,2,7,existing paid,items of furniture,2415,1,3,3,male: married / widowed,Guarantor  ,2,1,34,3,rented flat,1,3,1,yes,yes
good,2,13,existing paid,items of furniture,2101,1,2,2,male: single,Guarantor  ,4,2,23,3,rented flat,1,2,1,yes,yes
good,2,18,existing paid,items of furniture,1301,1,5,4,female:,Guarantor  ,2,1,32,3,rented flat,1,2,1,yes,yes
good,2,18,existing paid,items of furniture,1113,1,3,4,male: single,Guarantor  ,4,1,26,3,rented flat,1,2,2,yes,yes
good,2,8,existing paid,items of furniture,760,1,4,4,male: single,Guarantor  ,2,1,44,3,rented flat,1,2,1,yes,yes
good,2,12,existing paid,items of furniture,625,1,2,4,female:,Guarantor  ,1,1,26,1,rented flat,1,2,1,yes,yes
good,3,6,critical/other existing credit,other,1323,2,5,2,male: divorced / living apart,none,4,3,28,3,rented flat,2,3,2,no,yes
good,1,9,critical/other existing credit,items of furniture,1138,1,3,4,male: married / widowed,none,4,1,25,3,rented flat,2,2,1,yes,yes
good,2,18,critical/other existing credit,items of furniture,1795,1,5,3,male: single,Guarantor  ,4,1,48,1,free apartment,2,2,1,no,yes
good,2,15,critical/other existing credit,items of furniture,2728,5,4,4,male: married / widowed,Guarantor  ,2,1,35,1,rented flat,3,3,1,no,yes
good,2,6,existing paid,items of furniture,484,1,4,3,female:,Guarantor  ,3,1,28,1,rented flat,1,2,1,yes,yes
good,2,10,all paid,items of furniture,1048,1,3,4,male: married / widowed,none,4,1,23,2,rented flat,1,2,1,yes,yes
good,2,12,existing paid,items of furniture,1155,1,5,3,female:,Guarantor  ,3,1,40,1,rented flat,2,2,1,yes,yes
good,2,20,delayed previously,new car,7057,5,4,3,male: married / widowed,none,4,2,36,1,free apartment,2,4,2,no,yes
good,2,15,critical/other existing credit,items of furniture,1537,5,5,4,male: married / widowed,Guarantor  ,4,1,50,3,rented flat,2,3,1,no,yes
good,1,12,existing paid,items of furniture,2214,1,3,4,male: married / widowed,none,3,2,24,3,rented flat,1,2,1,yes,yes
good,4,24,critical/other existing credit,used car,1585,1,4,4,male: married / widowed,none,3,2,40,3,rented flat,2,3,1,yes,yes
good,2,10,existing paid,used car,1521,1,3,4,male: divorced / living apart,none,2,3,31,3,rented flat,1,2,1,yes,yes
good,2,36,all paid,radio / television,3990,5,2,3,male: single,none,2,4,29,1,rented flat,1,1,1,yes,yes
good,3,18,existing paid,used car,3049,1,2,1,male: single,none,1,2,45,2,rented flat,1,2,1,yes,yes
bad,1,24,existing paid,items of furniture,1282,2,3,4,male: single,none,2,3,32,3,rented flat,1,2,1,yes,yes
good,4,60,existing paid,items of furniture,10144,2,4,2,male: single,none,4,1,21,3,rented flat,1,3,1,no,yes
good,1,12,existing paid,other,1168,1,3,4,female:,none,3,1,27,3,rented flat,1,2,1,yes,yes
good,2,6,existing paid,household appliances,454,1,2,3,female:,none,1,2,22,3,rented flat,1,2,1,yes,yes
good,4,15,delayed previously,new car,3594,1,2,1,male: single,none,2,2,46,3,rented flat,2,2,1,yes,yes
good,4,12,existing paid,used car,1768,1,3,3,male: married / widowed,none,2,1,24,3,free apartment,1,2,1,yes,yes
good,4,60,delayed previously,items of furniture,15653,1,4,2,male: married / widowed,none,4,3,21,3,rented flat,2,3,1,no,yes
good,3,12,delayed previously,other,2247,1,3,2,male: single,none,2,3,36,2,rented flat,2,3,1,no,yes
good,4,24,existing paid,items of furniture,1413,1,3,4,female:,none,2,2,28,3,rented flat,1,3,1,yes,yes
